Genres,Release_year,Runtime,Language,Adult,Vote_average
"['Action', 'Comedy', 'Romance', 'Thriller']",2026.0,85,en,0,5.553
"['Crime', 'Thriller']",2025.0,109,es,0,6.404
['Drama'],2015.0,97,en,0,5.41
"['Comedy', 'Fantasy', 'Science Fiction']",2018.0,96,pt,0,6.1
"['Comedy', 'Drama', 'Thriller']",2019.0,133,ko,0,8.5
"['Drama', 'Horror', 'Romance', 'Science Fiction']",2018.0,82,en,0,5.806
"['Drama', 'Romance']",2026.0,113,ko,0,7.5
"['Comedy', 'Drama', 'Family']",2025.0,13,en,0,0.0
"['Horror', 'Mystery', 'Thriller']",2025.0,100,en,0,6.708
"['Action', 'Adventure', 'Science Fiction']",2025.0,119,en,0,6.5
"['Action', 'Horror', 'Science Fiction']",2025.0,95,en,0,6.0
"['Action', 'Adventure', 'Science Fiction']",2018.0,149,en,0,8.234
"['Action', 'Adventure', 'Science Fiction']",2025.0,130,en,0,7.359
"['Action', 'Adventure', 'Science Fiction']",2024.0,123,zh,0,6.302
"['Drama', 'Thriller']",1999.0,139,en,0,8.438
"['Action', 'Crime', 'Thriller']",2008.0,152,en,0,8.526
['Drama'],2022.0,93,en,0,4.5
"['Action', 'Adventure', 'Science Fiction']",2010.0,148,en,0,8.37
"['Action', 'Comedy']",1987.0,60,en,0,1.0
"['Action', 'Crime']",2026.0,80,en,0,8.125
"['Drama', 'Romance']",1997.0,194,en,0,7.9
['Documentary'],2025.0,47,en,0,0.0
['Drama'],2021.0,85,tr,0,7.2
"['Action', 'Adventure', 'Animation', 'Fantasy']",2025.0,144,zh,0,8.11
"['Comedy', 'Drama']",2025.0,17,en,0,0.0
['Action'],2008.0,160,te,0,3.2
"['Action', 'Adventure', 'Science Fiction']",2025.0,115,en,0,6.97
"['Drama', 'Romance', 'Thriller']",2023.0,116,es,0,7.763
"['Drama', 'Thriller']",1993.0,107,en,0,5.654
"['Drama', 'History']",1957.0,145,fr,0,6.878
"['Horror', 'Mystery']",2026.0,106,en,0,5.092
"['Action', 'Adventure', 'Fantasy']",2025.0,117,ko,0,6.819
"['Animation', 'Comedy', 'Drama']",2003.0,92,ja,0,7.918
"['Action', 'Adventure', 'Comedy', 'Science Fiction']",2026.0,134,en,0,7.2
"['Horror', 'Thriller']",2011.0,86,en,0,4.25
"['Comedy', 'Drama']",2025.0,110,en,0,7.815
"['Action', 'Science Fiction']",2008.0,115,en,0,6.452
"['Adventure', 'Animation', 'Comedy', 'Family']",2016.0,109,en,0,7.759
"['Action', 'Adventure', 'Family', 'Fantasy']",2025.0,125,en,0,7.934
['Drama'],2024.0,119,tl,0,4.333
"['Action', 'Adventure', 'Fantasy']",2012.0,169,en,0,7.367
"['Action', 'Animation']",2025.0,88,ja,0,5.704
"['Action', 'Animation', 'Fantasy', 'Romance']",2025.0,99,ja,0,8.34
"['Action', 'Crime', 'Thriller']",2003.0,114,nl,0,6.69
"['Horror', 'Mystery']",2025.0,95,ja,0,6.335
"['Action', 'Comedy']",1994.0,102,zh,0,7.439
"['Horror', 'Science Fiction', 'Thriller']",2025.0,115,en,0,6.612
"['Comedy', 'Drama', 'Romance']",2002.0,96,en,0,6.197
"['Action', 'Drama', 'Thriller']",2025.0,93,en,0,7.086
"['Action', 'Adventure', 'Drama']",1978.0,94,en,0,3.6
"['Action', 'Science Fiction', 'Thriller']",2025.0,133,en,0,6.793
"['Drama', 'History']",2025.0,149,en,0,7.344
"['Action', 'Adventure', 'Fantasy']",2003.0,201,en,0,8.5
"['Action', 'Thriller']",2025.0,99,en,0,6.229
"['Comedy', 'Crime', 'Thriller']",1994.0,154,en,0,8.486
[],2013.0,100,en,0,0.0
"['Comedy', 'Science Fiction', 'Thriller']",2025.0,119,en,0,7.345
[],2021.0,89,zh,0,0.0
"['Action', 'Science Fiction']",1999.0,136,en,0,8.238
['Thriller'],1975.0,100,en,0,5.636
"['Action', 'Mystery', 'Thriller']",2025.0,93,en,0,6.8
"['Animation', 'Comedy', 'Family', 'Science Fiction']",2026.0,105,en,0,0.0
"['Action', 'Crime', 'Thriller']",2004.0,90,zh,0,6.9
"['Action', 'Adventure']",1948.0,68,en,0,6.0
"['Action', 'Adventure', 'Science Fiction']",2021.0,148,en,0,7.932
"['Action', 'Thriller']",2025.0,88,th,0,6.7
"['Adventure', 'Comedy', 'Family', 'Fantasy']",2025.0,101,en,0,6.277
"['Action', 'Comedy', 'Science Fiction']",2024.0,128,en,0,7.557
['Music'],2009.0,82,en,0,0.0
"['Adventure', 'Science Fiction']",2024.0,167,en,0,8.13
"['Horror', 'Thriller']",1979.0,100,en,0,5.9
"['Horror', 'Thriller']",2026.0,95,en,0,6.191
"['Crime', 'Drama', 'Thriller']",2025.0,139,hi,0,6.43
"['Action', 'Crime', 'Thriller']",2025.0,125,en,0,7.3
"['Action', 'Comedy']",1979.0,97,en,0,3.093
"['Action', 'Adventure', 'Animation', 'Science Fiction']",2023.0,140,en,0,8.3
"['Horror', 'Science Fiction']",1993.0,85,en,0,5.708
"['Drama', 'Music']",2026.0,110,en,0,6.0
"['Drama', 'History']",2023.0,181,en,0,8.034
"['Comedy', 'Romance']",2001.0,95,en,0,5.7
"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",2001.0,90,en,0,7.757
"['Action', 'Horror', 'Science Fiction']",2025.0,108,en,0,6.013
"['Adventure', 'Fantasy']",2001.0,152,en,0,7.899
"['Adventure', 'Family', 'Fantasy']",2005.0,143,en,0,7.136
"['Action', 'Comedy', 'Crime']",2025.0,85,en,0,6.4
"['Drama', 'History']",2025.0,121,en,0,8.2
['Horror'],2025.0,136,en,0,6.901
"['Horror', 'Thriller']",2026.0,93,en,0,4.4
"['Action', 'Drama', 'Fantasy']",2025.0,165,kn,0,7.067
"['Adventure', 'Animation', 'Comedy', 'Family']",1995.0,81,en,0,7.971
"['Animation', 'Family', 'Fantasy']",2001.0,125,ja,0,8.533
['Drama'],2025.0,133,no,0,7.553
"['Drama', 'Music']",1969.0,87,en,0,0.0
"['Action', 'Adventure', 'Fantasy']",2024.0,129,zh,0,6.834
"['Action', 'Drama', 'History']",2009.0,108,en,0,4.971
['Drama'],2021.0,60,ko,0,4.5
"['Adventure', 'Animation', 'Comedy', 'Family']",2024.0,97,en,0,7.547
"['Action', 'Drama']",2022.0,131,en,0,8.156
"['Adventure', 'Crime', 'Western']",2025.0,95,en,0,6.391
"['Comedy', 'History']",2025.0,106,es,0,6.533
"['Action', 'Horror', 'Thriller']",2001.0,86,en,0,4.981
"['Adventure', 'Science Fiction']",2021.0,155,en,0,7.778
"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",2025.0,123,ko,0,7.0
"['Action', 'Crime']",2024.0,115,zh,0,6.2
"['Comedy', 'Romance']",2025.0,94,es,0,5.4
['Action'],1988.0,180,hi,0,6.4
"['Drama', 'Thriller']",2023.0,105,de,0,4.95
"['Comedy', 'Drama', 'Romance']",1994.0,142,en,0,8.462
"['Action', 'Adventure', 'Animation', 'Family']",2025.0,51,fr,0,8.5
"['Action', 'Horror', 'Mystery', 'Science Fiction', 'Thriller']",2026.0,89,en,0,5.713
"['Action', 'Crime']",2011.0,253,en,0,8.0
"['Action', 'Adventure']",2007.0,99,en,0,5.666
"['Action', 'Adventure', 'Science Fiction', 'Thriller']",2020.0,120,en,0,7.128
"['Action', 'Fantasy', 'Horror']",2026.0,78,en,0,0.0
"['Crime', 'Drama']",1974.0,202,en,0,8.571
"['Comedy', 'Drama']",2008.0,82,fr,0,0.0
"['Action', 'Adventure', 'Science Fiction']",1977.0,121,en,0,8.201
['Drama'],2024.0,94,tl,0,4.4
"['Crime', 'Mystery', 'Thriller']",1995.0,127,en,0,8.4
"['Crime', 'Drama', 'Thriller']",2019.0,122,en,0,8.128
"['Action', 'Comedy']",2025.0,106,en,0,6.525
"['Action', 'Adventure', 'Fantasy']",2014.0,144,en,0,7.331
"['Drama', 'Horror', 'Thriller']",2017.0,135,en,0,7.238
"['Drama', 'Romance']",2025.0,85,tl,0,6.0
"['Comedy', 'Family', 'Science Fiction']",2025.0,108,en,0,7.209
"['Action', 'Science Fiction', 'Thriller']",1984.0,108,en,0,7.675
"['Action', 'Adventure', 'Crime', 'Horror', 'Science Fiction', 'Thriller']",1968.0,87,es,0,4.9
"['Action', 'Adventure', 'Fantasy']",2003.0,143,en,0,7.82
"['Action', 'Adventure', 'Science Fiction']",2019.0,181,en,0,8.236
"['Action', 'Adventure', 'Fantasy']",2002.0,179,en,0,8.4
"['Comedy', 'Drama', 'Fantasy', 'Horror']",2025.0,109,no,0,7.323
"['Comedy', 'Romance']",2025.0,134,te,0,5.2
"['Animation', 'Drama', 'Romance']",2016.0,106,ja,0,8.479
"['Action', 'Fantasy', 'Thriller']",2025.0,102,no,0,6.516
"['Action', 'Crime', 'Thriller']",2023.0,142,en,0,7.003
['Drama'],2017.0,116,as,0,7.0
"['Adventure', 'Horror', 'Thriller']",2024.0,84,en,0,7.0
"['Action', 'Science Fiction']",2002.0,121,en,0,7.321
"['Horror', 'Mystery']",2025.0,110,en,0,7.067
"['Horror', 'Thriller']",2025.0,114,en,0,6.752
"['Comedy', 'Romance']",2026.0,97,es,0,8.0
"['Adventure', 'Animation', 'Drama', 'Family']",1994.0,89,en,0,8.252
"['Adventure', 'Comedy', 'Science Fiction']",2019.0,96,en,0,10.0
"['Action', 'Adventure', 'Science Fiction']",2008.0,126,en,0,7.655
"['Romance', 'Science Fiction', 'Thriller']",2025.0,128,en,0,7.627
"['Action', 'Drama', 'Mystery']",2025.0,123,ko,0,6.386
['Horror'],2025.0,73,en,0,6.7
"['Action', 'Thriller']",2025.0,89,en,0,6.983
"['Adventure', 'Fantasy']",2004.0,141,en,0,8.008
"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",2023.0,93,en,0,7.593
"['Documentary', 'Family', 'War']",2024.0,27,en,0,0.0
['Comedy'],1937.0,18,en,0,6.0
"['Horror', 'Science Fiction', 'Thriller']",2002.0,113,en,0,7.236
"['Comedy', 'Horror', 'Science Fiction']",2026.0,99,en,0,6.242
['Drama'],2023.0,107,tl,0,2.333
"['Adventure', 'Comedy', 'Science Fiction']",1985.0,116,en,0,8.324
"['Action', 'Adventure', 'Animation', 'Science Fiction']",2018.0,117,en,0,8.393
"['Crime', 'Drama', 'Thriller']",2025.0,161,pt,0,7.5
"['Animation', 'Comedy', 'Fantasy']",2014.0,25,ja,0,9.0
"['Action', 'Animation', 'Comedy', 'Family', 'Science Fiction']",2024.0,94,en,0,6.994
"['Comedy', 'Crime', 'Drama']",2025.0,126,en,0,7.149
"['Crime', 'Drama', 'Thriller']",2021.0,119,en,0,7.586
"['Adventure', 'Fantasy']",2005.0,157,en,0,7.801
"['Action', 'Comedy', 'Family', 'Science Fiction']",2024.0,110,en,0,7.624
"['Adventure', 'Comedy']",2023.0,114,en,0,6.929
"['Adventure', 'Fantasy', 'Romance']",2025.0,137,en,0,6.674
"['Drama', 'Romance', 'Thriller']",2015.0,125,en,0,5.873
