Genres
"['Action', 'Science Fiction', 'Thriller']"
"['Horror', 'Science Fiction', 'Thriller']"
['Action']
['Action']
"['Adventure', 'Science Fiction', 'Thriller']"
"['Action', 'Adventure', 'Fantasy']"
"['Drama', 'Mystery', 'Thriller']"
"['Action', 'Crime', 'Drama', 'Thriller']"
"['Adventure', 'Animation', 'Comedy', 'Family', 'Mystery']"
"['Action', 'Science Fiction', 'Thriller']"
"['Action', 'Comedy', 'Crime', 'Mystery']"
"['Action', 'Adventure', 'Science Fiction']"
"['Drama', 'Romance']"
"['Adventure', 'Fantasy', 'Science Fiction']"
"['Science Fiction', 'Thriller']"
"['Action', 'Horror', 'Thriller']"
"['Action', 'Thriller']"
"['Drama', 'Thriller']"
"['Action', 'Horror', 'Thriller']"
"['Action', 'Animation', 'Comedy', 'Family']"
"['Action', 'Animation', 'Fantasy']"
['Drama']
"['Action', 'Crime', 'Thriller']"
"['Drama', 'Romance']"
"['Crime', 'Thriller']"
"['Horror', 'Thriller']"
['Drama']
"['Adventure', 'Comedy', 'Music']"
"['Horror', 'Thriller']"
"['Action', 'Drama']"
"['Action', 'Crime']"
"['Action', 'Crime', 'Drama', 'Thriller']"
"['Comedy', 'Romance', 'TV Movie']"
"['Action', 'Crime', 'Thriller']"
"['Drama', 'History', 'Romance']"
"['Action', 'Adventure', 'Comedy', 'Horror']"
"['Horror', 'Mystery']"
['Horror']
['Action']
"['Action', 'Mystery', 'Thriller']"
['Horror']
['Drama']
"['Action', 'Crime', 'Romance']"
"['Action', 'Crime', 'Drama']"
"['Horror', 'Thriller']"
"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
"['Comedy', 'Drama', 'Romance']"
"['Animation', 'Drama', 'Family']"
['Documentary']
['Drama']
"['Drama', 'Thriller']"
"['Crime', 'Mystery', 'Thriller']"
"['Comedy', 'Family']"
"['Crime', 'Horror', 'Mystery']"
"['Action', 'Fantasy', 'Thriller']"
"['Horror', 'Thriller']"
"['Drama', 'Music', 'Romance']"
"['Action', 'Adventure', 'Science Fiction']"
['Horror']
"['Action', 'Drama', 'Thriller']"
"['Drama', 'TV Movie', 'Thriller']"
"['Documentary', 'Music']"
"['Action', 'Crime', 'Thriller']"
"['Action', 'Crime', 'Thriller']"
"['Action', 'Drama', 'History']"
"['Action', 'Drama', 'War']"
"['Animation', 'Comedy', 'Fantasy', 'Music']"
