Movie_id,Popularity
700,6.1297
571265,4.07
64635,5.2747
1356670,5.9844
1164,5.7672
1438229,4.6521
35217,5.0539
481084,5.0132
1321902,4.9621
9335,5.857
1010600,4.5486
390043,4.9349
9291,5.239
1519168,4.3995
856,5.5648
899112,4.5965
136797,6.5568
1516391,4.9835
400928,5.3711
1315988,4.8112
34544,5.7099
76025,6.5032
65015,3.7665
20943,4.8801
747188,5.2553
2110,5.516
193722,5.1307
2440,4.3349
9023,6.8986
928358,5.2485
35044,4.8935
1249213,5.5573
80788,5.7388
10398,3.9507
1255,4.5882
22881,6.9397
9259,4.352
369972,6.0947
556574,5.3095
987434,3.4461
372921,4.7411
12101,5.0784
1064486,4.5559
364689,5.7789
18892,5.3956
204679,4.1474
1844,6.2726
901362,4.9051
476299,4.9991
9407,5.9684
1509573,4.1944
700,6.1297
639848,4.3263
120457,4.3195
846778,4.6189
1164,5.7672
378236,6.4366
531509,5.2655
481084,5.0132
724495,6.2065
9335,5.857
1429738,4.9961
11674,5.4345
479455,5.7901
724106,5.5326
13483,4.2927
1166133,4.6987
38153,4.5556
1126915,5.2055
8456,5.0896
9919,5.679
1000837,7.3343
13156,4.3496
638,6.785
10184,4.6627
3558,5.3758
82693,6.583
155765,4.8394
11071,4.3012
10201,4.8624
8271,4.9639
334,6.0169
1337404,5.6118
463843,4.7777
1226299,5.6634
1182387,4.5721
109428,4.7452
1241921,4.895
865,4.7079
929204,5.108
9104,4.6402
734002,5.5577
11023,5.6595
29710,4.9243
7553,5.1857
17431,4.2652
12162,4.5509
391713,4.7431
848538,6.7456
9679,6.3438
103663,6.3638
1297763,4.6878
1304434,4.7742
1292695,4.5395
21208,5.7275
944401,5.5443
614934,6.2534
1669,5.5359
846778,4.6189
97367,5.0441
76493,5.9044
9303,4.7757
774752,5.0503
324670,5.0085
9760,5.193
602223,5.6495
1445276,4.1701
342473,6.2064
1139566,5.3655
4133,4.6916
1127166,5.6121
378236,6.4366
531509,5.2655
724495,6.2065
9392,5.2614
79909,4.499
342434,4.3874
471506,5.3762
1230368,5.8665
1106739,5.3459
13161,5.5009
341559,4.2853
6620,5.7949
44826,5.9747
48650,5.322
16907,5.9128
60308,6.0084
73935,4.2315
2059,6.1854
37686,5.4509
1488223,2.2127
1241921,4.895
26371,4.9432
9279,4.6622
506574,4.4224
1278950,6.0839
5723,5.0616
935,4.4928
773,4.5152
1029955,7.1012
6957,5.6259
1404791,4.5548
319,5.249
1127166,5.6121
1117857,4.663
1083420,4.1566
1272890,4.7015
1001835,3.6236
675445,4.984
647245,5.4754
85889,5.3688
647245,5.4754
85889,5.3688
370663,5.4761
93837,5.3584
1096563,4.7129
926746,4.1787
888195,4.8172
72387,5.5568
2119,5.3482
639798,5.0853
27581,4.6926
911835,4.8839
1265063,8.9743
870360,5.2572
2759,3.6024
429473,5.8413
309304,4.8239
76,7.4466
819,6.5881
44048,5.7322
26444,5.7075
252,4.8798
38321,6.4284
42134,4.1479
462,6.1607
699,4.4544
674324,4.418
11090,5.063
481848,6.1207
20766,6.2257
1040148,5.4936
1450599,4.4123
5925,5.0808
10030,4.7802
504253,5.0025
446354,5.2049
5336,4.7824
5492,5.2285
68335,4.8367
507732,4.806
196867,5.3092
516486,5.376
90100,3.764
42134,4.1479
52451,5.3507
18892,5.3956
966220,4.7057
228165,5.2497
10995,5.4513
9303,4.7757
15028,4.2833
827991,4.7908
1023922,4.9657
1304625,3.8333
955911,22.6545
4289,3.8515
97020,5.783
9362,5.0078
132332,5.1161
8413,5.378
340102,5.1834
10201,4.8624
1363979,3.7926
103663,6.3638
1072890,6.7538
561757,4.9475
2756,5.5702
715756,5.1002
9032,4.5952
138697,5.3417
1075523,3.6552
1256658,6.0734
21542,5.0667
1309129,3.674
1388456,5.1221
14299,5.159
11545,4.4749
2270,5.9459
481084,5.0132
762,4.9285
77950,5.0097
1278950,6.0839
10140,5.0951
906126,5.7624
11507,5.239
27581,4.6926
78428,4.6855
630566,5.4445
26371,4.9432
9362,5.0078
1072890,6.7538
64494,4.5957
12508,4.728
12405,6.2326
1026821,4.4437
850165,5.1207
13027,5.2936
1979,5.4271
97020,5.783
16320,5.0737
68254,4.7902
348060,5.4271
32924,5.2803
296098,6.3797
441762,4.3081
869,5.4967
157845,4.3977
786,6.0384
8427,4.4529
1342341,4.3696
71672,5.587
13532,4.5845
54398,4.1886
489999,5.6908
1578018,4.2768
1352624,4.9779
1201262,4.098
526896,5.7991
471972,4.219
406,6.0134
1509659,3.7451
715756,5.1002
622,4.8891
12222,4.7377
2019,5.4725
592208,7.2331
1388456,5.1221
492188,5.7344
638507,4.6945
9530,4.7968
1584,4.7569
71676,5.5581
4985,4.938
12137,4.4391
597208,6.0252
10073,4.384
16871,5.0158
13700,5.0422
14247,4.9107
762,4.9285
1337562,4.4094
491418,5.1856
959558,4.8261
1379458,3.2552
11322,6.1161
1284496,3.4228
9286,5.4194
39486,4.8293
44363,4.5102
1463232,4.76
2331,4.1501
546121,7.0749
1094473,5.47
426,4.7539
845659,3.6097
2359,4.6171
521029,5.0367
9377,4.9834
27090,4.3459
240143,4.6294
4289,3.8515
15028,4.2833
646593,4.894
378236,6.4366
44115,6.5537
799051,4.0996
