Movie_id,Popularity
1236153,545.1617
1272837,237.7059
1244975,230.6038
1301306,227.8739
1523145,186.6904
840464,169.0134
1253000,158.6682
1368166,143.4842
1419406,178.4926
1084242,168.5377
434853,146.0445
1634858,125.0657
1168190,131.0266
1242898,122.1662
1316092,113.8131
83533,115.5859
755898,108.9751
1205225,91.3148
1088434,217.9571
1428862,97.4429
1110034,81.4808
1297842,87.3585
1311031,84.8116
1317288,79.8722
1601243,75.4988
1317672,74.5409
1171145,70.7768
1146344,58.2973
1600028,68.4003
14831,55.2156
1315303,61.2462
1511417,64.1645
1327688,68.9253
1426964,62.3132
1396980,53.1403
1306368,60.9122
858024,68.9666
1234731,59.9592
1323625,51.5796
83519,75.5864
1584215,56.8154
1310568,58.2946
1242937,99.7629
11393,46.396
1271895,54.1642
27725,45.6751
1052558,47.105
991494,54.7348
14938,45.2282
1167307,53.4388
1522259,63.8951
23949,44.2551
1193128,54.9089
425274,50.3035
1460448,52.2566
1159559,66.1938
1043197,43.8998
103620,41.7885
42159,40.9389
24428,50.5441
1199869,38.3597
52657,57.2448
258362,38.1549
15260,39.191
1290821,274.4696
1242501,44.3992
1305781,50.3147
1252037,43.1301
803796,44.9606
157336,43.1132
1246049,42.8901
1054867,41.5488
587370,40.1081
7451,43.7608
21948,49.4366
278,33.781
1215185,34.3095
947959,45.6128
1198994,40.9298
10929,34.5667
1234821,35.5748
639988,32.471
1242015,28.738
1242937,99.7629
1287141,38.6487
1266990,36.9845
11065,27.0267
650524,40.5676
1233413,35.9627
1223601,33.3674
76600,33.915
19995,31.5771
575265,39.368
1215185,34.3095
982843,29.9156
1326878,26.2362
1243460,24.3507
10774,25.9192
1062722,34.8518
1084244,83.5166
1084244,83.5166
911430,33.1588
1340076,23.7307
10929,34.5667
1464374,34.3353
254905,31.4737
518495,33.4803
1088434,217.9571
496243,29.2527
461992,23.8617
1268609,31.7802
1362057,21.4877
1528660,23.9612
533533,29.5807
1196067,28.2096
1440144,27.3742
299536,28.7409
1061474,28.4139
1033462,27.8455
550,27.0124
299536,28.7409
155,26.7425
982843,29.9156
533533,29.5807
1326878,26.2362
940100,24.8932
27205,27.2486
346796,24.0062
1327690,28.567
597,28.4976
1411707,21.9494
1243460,24.3507
776659,22.8743
980477,28.7072
1523846,34.1069
81065,32.9914
1196067,28.2096
617126,28.8624
1010581,28.0117
4916,21.3632
4300,31.8284
461992,23.8617
1258151,35.3254
680493,42.5979
1061474,28.4139
11065,27.0267
1131759,26.3419
1033462,27.8455
13398,21.3011
1119449,24.9959
