Movie_id,Popularity
858,4.8794
364,5.1292
1000837,7.3343
27902,4.9654
77663,4.9905
37430,5.2816
1463232,4.76
53182,5.6202
223702,6.1473
232672,5.0698
10222,5.272
4488,4.7493
11527,4.7629
1125,7.1571
353491,6.9132
11283,5.1688
630586,5.0134
17578,4.4658
54989,8.7832
44912,5.9467
73196,5.2736
561757,4.9475
396422,4.8481
9574,5.8003
1502943,4.6521
11527,4.7629
17771,4.9821
5915,6.79
238636,4.9098
232672,5.0698
1522496,5.2203
1230368,5.8665
1407861,5.7155
1266798,4.0457
87502,5.8276
51608,4.0028
1182861,5.308
1023922,4.9657
777443,7.2517
1023922,4.9657
777443,7.2517
1029955,7.1012
76757,6.0022
968,5.5321
15512,5.5473
13941,4.7736
1307078,5.0789
1530067,3.5802
459910,4.9406
445571,5.0923
364,5.1292
503919,6.3702
1438973,4.5313
364324,5.0232
1089,7.2173
508642,6.1125
8224,4.573
11430,4.6163
492101,4.6442
38579,4.6398
592695,6.2625
32856,5.7459
9364,4.8253
1213,4.5301
2675,6.7356
1302011,4.8357
1383247,6.0402
1124641,4.8466
951491,4.8599
894169,5.1201
370663,5.4761
291276,5.4756
1623740,4.9576
785084,7.7434
10137,5.4791
619264,7.0786
11360,5.3145
1410399,4.0884
39939,4.5939
894169,5.1201
1226299,5.6634
291276,5.4756
10137,5.4791
11360,5.3145
39939,4.5939
84735,5.3224
736526,4.8658
1106739,5.3459
330070,5.916
123338,4.9885
1013850,4.7658
107846,7.2361
77560,5.0408
625450,5.2239
228326,5.4129
85392,5.0391
35552,5.8878
527641,4.7638
24402,5.3412
9390,5.7962
507076,5.408
709,6.3709
40562,4.0185
1013601,5.0944
13179,4.7838
239526,5.1084
14248,5.0778
1125510,4.9596
1413097,5.497
9316,5.9831
347647,3.6347
274167,4.6615
1383429,3.95
1003598,4.957
1645,5.9
1244492,4.8427
38142,5.3244
896536,4.817
681,5.7843
16996,5.7552
949423,5.5431
24402,5.3412
930092,5.1025
1159206,5.7869
123338,4.9885
1013850,4.7658
107846,7.2361
625450,5.2239
324670,5.0085
228326,5.4129
1304434,4.961
29710,4.9243
1516391,4.9835
258489,5.2182
1094473,5.47
55,6.3457
974453,5.5676
399174,5.9715
682507,7.7203
1273002,4.0467
585534,4.7831
1096563,4.7129
11690,6.1499
380,5.0468
1534754,3.3399
7518,6.6473
966220,4.7057
471506,5.3762
59437,4.8613
1374,4.5005
531428,6.7894
1639000,7.5961
9655,6.0002
27582,6.0533
17578,4.4658
165213,4.8814
9665,6.7809
76726,5.1936
1154538,4.8652
9441,5.348
503346,4.6245
969492,4.9097
10483,6.1518
421255,4.3769
12133,5.9097
8810,5.1665
50456,5.2344
39437,4.9014
1223690,4.7789
975714,4.4332
2023,4.4314
395990,7.9088
98203,4.4377
1306525,5.2576
1544991,4.3984
1256658,6.0734
127380,5.8613
870360,5.2572
13510,4.5438
2666,4.6804
27098,4.8575
725201,4.7276
228326,5.4129
38234,5.0627
9334,5.8946
4587,5.0923
10948,6.7037
6620,5.7949
346651,4.3925
12101,5.0784
1064486,4.5559
804095,5.4997
36670,4.687
18892,5.3956
1844,6.2726
476299,4.9991
9407,5.9684
138697,5.3417
