Movie_id,Vote_average,Vote_count
467905,6.5,12
10138,6.85,22091
672,7.704,23282
519182,6.994,3079
1466115,8.271,85
1071585,7.258,1161
585,7.846,19499
1003596,0.0,0
1175942,7.692,672
1184918,8.312,5750
70089,7.378,45
1327862,6.87,303
1288072,5.474,135
863,7.605,14667
70981,6.591,13050
967941,6.674,834
106646,8.026,25533
23210,6.427,353
24,7.971,18600
402431,6.918,2876
1156594,7.373,612
99861,7.271,24139
1278101,7.867,49
269955,6.647,78
414906,7.656,11641
109445,7.248,17367
1575337,8.3,52
345,7.485,6857
2062,7.836,18209
1515615,7.7,13
14160,7.959,21356
1159831,0.0,0
1865,6.565,14768
564,6.962,9778
11566,6.647,815
1309012,5.9,89
675,7.672,20544
1206008,5.614,79
12445,8.081,21703
1086260,5.828,212
678806,0.0,0
1149167,6.572,104
1226863,0.0,0
10193,7.8,15487
26725,4.8,125
150540,7.909,23187
447365,7.926,8032
301528,7.467,10362
1241624,6.641,32
210577,7.888,19675
767,7.682,20516
11324,8.2,25456
297762,7.21,20718
12,7.817,20290
424,8.566,17142
49026,7.791,24020
98,8.222,20539
8966,6.282,14228
12444,7.736,20122
1007542,0.0,0
280,8.139,13971
603692,7.708,7708
73861,5.431,2175
1371185,7.436,163
329865,7.624,19011
286217,7.7,20858
244786,8.373,16331
957119,6.158,180
1212742,6.11,132
546554,7.841,13691
429617,7.396,16700
14836,7.9,8789
1592032,5.5,2
10681,8.107,19947
694,8.2,18642
111,8.2,12754
106,7.5,8869
156022,7.281,9758
801937,6.177,82
76341,7.629,23775
38757,7.609,12204
228150,7.541,12733
1511789,5.0,47
823219,8.095,2646
1291335,7.375,8
822119,5.983,2940
670,8.241,9598
284054,7.362,23207
283995,7.6,22665
58,7.374,16904
37165,8.151,19829
198663,7.189,17885
129875,6.0,3
1205229,6.539,77
1336189,5.851,37
1542418,0.0,0
335983,6.826,17028
68721,6.931,23165
687163,0.0,0
1246300,0.0,0
51876,7.194,11276
1217602,6.736,89
829557,5.93,1824
18785,7.329,17839
271110,7.446,23762
324786,8.191,14618
28,8.267,8896
694,8.2,18642
466272,7.423,14577
152601,7.841,15072
573435,7.338,3219
225819,3.0,2
558449,6.631,4205
260514,6.852,6285
1304313,0.0,0
604079,6.949,1172
1010755,6.0,12
103,8.1,13212
271110,7.446,23762
600701,0.0,0
324786,8.191,14618
177572,7.725,16371
823464,7.052,4515
1119878,6.257,579
68718,8.187,27605
1627796,4.0,1
9502,7.315,12409
338969,6.033,307
272,7.721,22280
539972,6.436,2226
11688,7.558,7181
27066,5.5,222
466272,7.423,14577
260514,6.852,6285
386716,6.0,17
875828,0.0,0
389,8.556,9763
474350,6.841,9467
507086,6.61,6894
696506,6.8,3289
18785,7.329,17839
351809,6.251,385
1379963,6.169,133
152601,7.841,15072
953902,0.0,0
4935,8.387,10837
646385,6.688,3727
369877,4.9,9
396535,7.749,8195
507089,7.337,4898
1217602,6.736,89
30112,6.541,61
28235,2.3,6
1475490,5.7,10
1336189,5.851,37
559,6.451,14977
1156593,7.121,1504
315162,8.204,8639
489,8.2,13549
1034716,7.029,469
1084199,7.012,2098
1215106,3.8,5
1252309,6.131,268
335983,6.826,17028
934433,7.0,3040
10191,7.855,14119
1011985,7.004,3384
111190,6.116,1019
605722,6.4,232
8681,7.4,11896
637920,8.252,4520
296096,7.92,13066
615457,7.888,8064
1011477,7.032,1112
39254,7.065,8929
1084199,7.012,2098
10195,6.768,22091
135397,6.698,21335
103,8.1,13212
1397364,7.5,276
315162,8.204,8639
588,6.619,4728
447273,4.322,1563
1590097,5.107,14
718930,7.413,7283
934433,7.0,3040
102899,7.065,20641
1426776,7.737,921
646385,6.688,3727
762509,7.314,2532
436969,7.468,9401
1138194,6.976,2483
350,7.39,12785
575264,7.507,4936
809,7.307,13220
313369,7.9,17873
786892,7.5,4676
10065,6.12,2314
281957,7.538,19040
6977,7.946,13016
1456349,7.181,368
718930,7.413,7283
1370814,6.86,50
1357633,7.075,259
558449,6.631,4205
56434,0.0,0
138843,7.539,12515
1138194,6.976,2483
28,8.267,8896
854,6.975,11032
419430,7.622,18576
408808,1.0,1
588,6.619,4728
68726,6.916,13133
1495,7.0,4787
78,7.9,14713
350,7.39,12785
1097549,5.688,1128
1196573,7.0,239
62,8.057,12362
284053,7.581,21748
18,7.6,11464
436969,7.468,9401
508442,8.097,11202
1064213,7.057,2972
1514044,0.0,0
242582,7.709,11511
333339,7.584,16622
207,8.301,12319
545611,7.721,7694
1433842,5.5,45
801335,7.588,818
615453,7.9,804
324544,6.384,737
1064213,7.057,2972
138843,7.539,12515
1072790,6.806,2946
640,7.977,16791
453395,7.228,10094
359410,6.932,2866
49013,6.172,8352
941109,6.607,572
419430,7.622,18576
46738,8.106,3160
652,7.168,10853
207,8.301,12319
50546,6.702,6023
314788,0.0,0
845781,6.999,2944
13494,5.737,192
1180367,4.923,13
505642,7.012,7290
150689,6.823,7321
1124,8.205,17248
9806,7.72,18642
102382,6.526,14005
38,8.091,16050
14161,5.868,12553
1426776,7.737,921
384018,6.836,7638
652,7.168,10853
273481,7.416,9348
840326,7.41,2699
667538,7.187,5173
561,7.121,7849
324552,7.336,14006
38365,6.395,6551
980026,7.687,543
120467,8.031,15792
1422,8.159,15912
140607,7.2,20299
582417,0.0,0
20352,7.256,15854
1241752,6.0,20
7485,7.12,5314
1426968,6.229,48
575264,7.507,4936
14,8.002,12825
985939,7.111,4409
1402,7.886,10427
337404,8.0,9911
36557,7.569,11456
337167,6.678,8290
1562,6.605,5375
1242011,6.991,947
102651,7.087,13588
8358,7.66,12079
766507,7.666,7525
10020,7.724,10518
1072790,6.806,2946
1469354,6.195,41
135397,6.698,21335
678122,5.5,4
12153,6.934,4405
1232449,8.393,224
749170,6.846,960
57158,7.574,13951
640,7.977,16791
539,8.417,10818
150689,6.823,7321
180703,6.0,4
1429520,7.041,49
4247,6.381,7528
941109,6.607,572
857,8.2,16904
711978,4.429,7
810,6.304,9633
755679,0.0,0
72190,6.823,16269
10625,7.222,9327
1087891,6.954,1501
845781,6.999,2944
50646,7.269,9098
629,8.169,11177
72190,6.823,16269
10625,7.222,9327
1087891,6.954,1501
50646,7.269,9098
1589891,7.5,82
629,8.169,11177
1376434,7.821,1098
1119090,8.295,66
791373,8.096,10641
985939,7.111,4409
645710,6.511,1127
744,7.059,9352
616037,6.377,8391
146233,8.102,12789
1275779,0.0,0
1140498,6.778,45
383498,7.489,18957
15854,6.784,459
131631,6.817,16537
1151272,6.799,477
291805,6.829,11387
257211,7.227,7182
698687,7.994,1518
453395,7.228,10094
75656,7.332,16507
572802,6.5,3378
114,7.455,8840
969681,0.0,0
321612,6.968,15915
1235746,6.454,184
351286,6.532,12569
387824,7.0,24
1193501,6.286,28
46195,6.758,7061
1724,6.231,12498
1180367,4.923,13
4348,8.052,8618
1397364,7.5,276
85877,5.6,31
245891,7.454,20490
746036,6.958,3522
146233,8.102,12789
1111873,6.677,1929
936108,5.87,242
976573,7.582,5161
1590097,5.107,14
601,7.511,11819
1618945,6.2,32
46873,6.0,49
60072,5.0,11
423502,4.5,15
818647,7.349,3313
566525,7.496,10201
141052,6.1,13516
50546,6.702,6023
166426,6.653,12639
339692,6.952,2178
493529,7.329,4396
118,7.039,15934
12155,6.637,14629
493529,7.329,4396
118,7.039,15934
12155,6.637,14629
141052,6.1,13516
314788,0.0,0
297802,6.868,14737
524434,6.8,8971
51876,7.194,11276
359410,6.932,2866
698508,7.862,710
1010756,6.1,235
25095,6.628,297
1233506,5.908,60
1032823,6.237,2680
1266992,5.3,3
1382406,7.454,152
920,7.021,14894
410119,5.2,27
840705,6.671,1791
302946,7.133,7193
1160360,6.4,185
1376434,7.821,1098
630,7.587,6009
490132,8.222,12612
62835,6.639,2802
1106289,6.419,437
4951,7.589,8763
615,7.52,5023
1271,7.192,14504
953,6.921,11540
398818,8.096,12603
10830,7.17,4733
1124620,6.01,1209
41007,5.619,42
1392117,6.3,37
1420733,6.5,6
1107166,3.7,3
792307,7.655,5309
530385,7.152,7889
508947,7.32,5685
109991,6.2,37
1475637,5.0,1
1161617,7.043,222
1542418,0.0,0
519465,6.902,363
1071640,0.0,0
3933,7.585,10029
1186350,6.5,106
41446,6.473,4057
49521,6.639,15956
259316,7.3,19527
1422211,6.818,11
1209770,4.067,15
447332,7.393,15106
787699,7.041,4277
1734,6.393,7520
107,7.816,9770
330457,7.235,10166
616037,6.377,8391
745,7.948,12595
13494,5.737,192
70345,5.156,109
105825,5.5,30
635302,8.203,4400
137113,7.634,14803
760329,6.461,445
7131,6.392,6473
990485,5.7,17
1531626,7.5,3
1356454,4.762,21
756999,7.536,5676
185,8.18,13624
410119,5.2,27
1032823,6.237,2680
926393,7.291,3575
1462229,7.0,7
420818,7.097,10644
772462,6.3,40
118340,7.905,29353
1417,7.757,11277
387848,5.7,14
1009640,6.757,103
772462,6.3,40
621,7.374,7576
1103437,6.2,70
978592,6.981,556
10198,7.215,6009
9637,6.099,4697
1280450,6.235,136
9757,5.673,2546
246655,6.519,13591
615173,7.363,421
118340,7.905,29353
87,7.304,9951
580489,6.752,11026
11224,7.045,7051
637,8.44,13808
8392,8.062,8633
1273948,0.0,0
1265609,0.0,0
1357886,5.958,12
588228,7.478,3977
1286185,5.561,57
1364608,6.1,96
1359,7.4,12006
560360,4.2,4
338970,6.369,8240
273248,7.8,15035
110415,6.908,10249
8392,8.062,8633
9552,7.74,8486
607,7.216,14594
4233,6.509,4583
91314,5.957,8621
1009640,6.757,103
131631,6.817,16537
381288,7.342,18135
1152491,4.429,7
1246300,0.0,0
1267319,6.232,142
127585,7.529,16051
580489,6.752,11026
393,7.9,14822
1034541,6.793,1876
399579,7.244,9818
2105,6.601,8152
370172,7.347,6926
9444,7.607,5544
9637,6.099,4697
407514,5.0,1
232710,0.0,0
1354700,6.679,28
929590,6.845,4131
316029,7.866,9918
879945,8.5,2
550988,7.456,9582
374720,7.449,17333
1548113,7.143,77
763215,6.991,2700
242,7.419,6715
571,7.515,4385
868759,6.898,2113
1813,7.466,6624
330457,7.235,10166
1152491,4.429,7
274855,6.111,5072
37135,7.395,7208
1359607,8.1,24
423,8.375,9934
550988,7.456,9582
37724,7.257,15919
137113,7.634,14803
493922,7.292,8368
7446,6.702,6788
787699,7.041,4277
593643,7.168,5929
607,7.216,14594
585511,7.74,1902
940551,7.353,2190
1364608,6.1,96
1263256,6.544,885
168259,7.219,11149
137,7.624,8695
978592,6.981,556
66245,7.3,28
293167,6.6,10986
9769,7.103,1930
87,7.304,9951
339403,7.442,16600
615173,7.363,421
11836,7.07,3130
5559,6.028,5153
1359607,8.1,24
378064,8.4,4368
119450,7.336,12051
76338,6.51,18111
23483,7.1,12212
917496,6.944,2984
752,7.898,15339
299054,6.08,1815
98566,5.925,7099
359724,8.005,8776
889737,5.397,2795
9479,7.831,10193
346910,5.63,5041
493922,7.292,8368
74,6.531,8977
197,7.941,10887
2048,6.96,12465
161,7.455,12348
507244,6.471,192
1290182,8.52,50
421892,0.0,0
335977,6.513,4006
10144,7.4,8305
1480382,8.117,184
600,8.121,11243
1091,8.067,7728
1029575,7.231,1798
1442908,6.9,32
87101,5.949,8849
246655,6.519,13591
640146,6.2,5666
299537,6.785,16537
50619,6.193,9170
1221451,4.5,10
1445363,8.1,8
1265,7.305,5131
1200320,4.614,22
810693,8.118,1664
311,8.387,5907
82702,7.678,10257
579974,7.723,1536
1208561,6.357,42
7446,6.702,6788
44214,7.686,15338
1103437,6.2,70
10192,6.4,7822
10198,7.215,6009
377,7.342,5604
76492,6.963,9050
868759,6.898,2113
466420,7.406,3988
1265609,0.0,0
661374,7.034,6583
1273948,0.0,0
954,7.019,9807
7345,8.077,7243
748783,7.009,1398
1593,6.596,10793
360784,6.893,1125
500,8.117,15173
312221,7.402,7846
1533474,0.0,0
593643,7.168,5929
436270,6.8,6881
4234,6.006,3929
101299,7.4,18204
1367642,0.0,0
598,8.428,8019
537915,7.111,8474
50620,6.458,9282
204082,6.935,3747
260346,6.26,6054
64690,7.6,13380
258942,3.857,14
986097,5.745,322
1205515,6.8,233
460458,5.942,2634
585083,7.044,2973
63,7.601,8940
1125257,6.9,619
9757,5.673,2546
6479,7.21,16580
