Release_year,Runtime,Language,Adult,Vote_average
2020.0,120,en,0,7.128
2026.0,78,en,0,0.0
1974.0,202,en,0,8.571
2008.0,82,fr,0,0.0
1977.0,121,en,0,8.201
2024.0,94,tl,0,4.4
1995.0,127,en,0,8.4
2019.0,122,en,0,8.128
2025.0,106,en,0,6.525
2014.0,144,en,0,7.331
2017.0,135,en,0,7.238
2025.0,85,tl,0,6.0
2025.0,108,en,0,7.209
1984.0,108,en,0,7.675
1968.0,87,es,0,4.9
2003.0,143,en,0,7.82
2019.0,181,en,0,8.236
2002.0,179,en,0,8.4
2025.0,109,no,0,7.323
2025.0,134,te,0,5.2
2016.0,106,ja,0,8.479
2025.0,102,no,0,6.516
2023.0,142,en,0,7.003
2017.0,116,as,0,7.0
2024.0,84,en,0,7.0
2002.0,121,en,0,7.321
2025.0,110,en,0,7.067
2025.0,114,en,0,6.752
2026.0,97,es,0,8.0
1994.0,89,en,0,8.252
2019.0,96,en,0,10.0
2008.0,126,en,0,7.655
2025.0,128,en,0,7.627
2025.0,123,ko,0,6.386
2025.0,73,en,0,6.7
2025.0,89,en,0,6.983
2004.0,141,en,0,8.008
2023.0,93,en,0,7.593
2024.0,27,en,0,0.0
1937.0,18,en,0,6.0
2002.0,113,en,0,7.236
2026.0,99,en,0,6.242
2023.0,107,tl,0,2.333
1985.0,116,en,0,8.324
2018.0,117,en,0,8.393
2025.0,161,pt,0,7.5
2014.0,25,ja,0,9.0
2024.0,94,en,0,6.994
2025.0,126,en,0,7.149
2021.0,119,en,0,7.586
2005.0,157,en,0,7.801
2024.0,110,en,0,7.624
2023.0,114,en,0,6.929
2025.0,137,en,0,6.674
2015.0,125,en,0,5.873
2025.0,98,en,0,6.936
1996.0,112,en,0,7.427
2025.0,129,en,0,7.3
2024.0,109,en,0,6.664
2003.0,81,en,0,1.0
2025.0,89,en,0,6.0
2015.0,82,en,0,8.8
2025.0,127,en,0,7.292
2015.0,26,ja,0,10.0
1979.0,117,en,0,8.166
2017.0,164,en,0,7.6
1999.0,189,en,0,8.504
2025.0,108,en,0,6.061
1977.0,94,it,0,5.1
2017.0,105,en,0,8.199
2026.0,105,en,0,6.5
2010.0,124,en,0,6.85
2002.0,161,en,0,7.704
2025.0,106,ko,0,8.271
2025.0,120,en,0,7.258
2001.0,92,en,0,7.846
2025.0,104,en,0,7.692
2024.0,102,en,0,8.312
1992.0,72,ja,0,7.378
2025.0,116,en,0,6.87
2025.0,99,en,0,5.474
1999.0,92,en,0,7.605
2012.0,124,en,0,6.591
2013.0,180,en,0,8.026
1993.0,112,en,0,6.427
2003.0,111,en,0,7.971
2024.0,162,en,0,6.918
2025.0,110,es,0,7.373
2015.0,141,en,0,7.271
2024.0,131,zh,0,7.867
2014.0,132,ko,0,6.647
2022.0,177,en,0,7.656
2013.0,102,en,0,7.248
2026.0,141,ja,0,8.3
1999.0,159,en,0,7.485
2007.0,111,en,0,7.836
2026.0,101,en,0,7.7
2009.0,96,en,0,7.959
2026.0,126,en,0,0.0
2011.0,136,en,0,6.565
1999.0,124,en,0,6.962
1993.0,110,en,0,6.647
2025.0,85,en,0,5.9
2007.0,138,en,0,7.672
2025.0,115,en,0,5.614
2011.0,130,en,0,8.081
2025.0,90,en,0,5.828
2019.0,115,en,0,0.0
2025.0,101,en,0,6.572
2026.0,98,en,0,0.0
2010.0,102,en,0,7.8
1986.0,89,en,0,4.8
2015.0,95,en,0,7.909
2023.0,150,en,0,7.926
2019.0,100,en,0,7.467
2025.0,95,ko,0,6.641
2014.0,149,en,0,7.888
2009.0,153,en,0,7.682
2010.0,138,en,0,8.2
2017.0,141,en,0,7.21
2003.0,100,en,0,7.817
1993.0,195,en,0,8.566
2012.0,165,en,0,7.791
2000.0,155,en,0,8.222
2008.0,122,en,0,6.282
2010.0,146,en,0,7.736
2004.0,61,en,0,0.0
1991.0,137,en,0,8.139
2023.0,170,en,0,7.708
2010.0,104,sr,0,5.431
2025.0,133,en,0,7.436
2016.0,116,en,0,7.624
2015.0,141,en,0,7.7
2014.0,107,en,0,8.373
2025.0,99,en,0,6.158
2025.0,104,en,0,6.11
2019.0,131,en,0,7.841
2019.0,129,en,0,7.396
2009.0,100,en,0,7.9
2026.0,77,zh,0,5.5
2008.0,98,en,0,8.107
1980.0,144,en,0,8.2
1983.0,170,en,0,8.2
1987.0,107,en,0,7.5
2014.0,132,en,0,7.281
2025.0,96,en,0,6.177
2015.0,121,en,0,7.629
2010.0,100,en,0,7.609
2014.0,135,en,0,7.541
2025.0,90,en,0,5.0
2024.0,85,lv,0,8.095
2026.0,100,en,0,7.375
2025.0,119,en,0,5.983
2003.0,120,ko,0,8.241
2018.0,135,en,0,7.362
2017.0,137,en,0,7.6
2006.0,151,en,0,7.374
1998.0,103,en,0,8.151
2014.0,113,en,0,7.189
1937.0,67,en,0,6.0
2025.0,91,en,0,6.539
2025.0,84,en,0,5.851
2018.0,112,en,0,6.826
2013.0,130,en,0,6.931
2026.0,156,en,0,0.0
1978.0,27,en,0,0.0
2011.0,106,en,0,7.194
2025.0,114,en,0,6.736
2022.0,110,pl,0,5.93
2009.0,100,en,0,7.329
2016.0,147,en,0,7.446
2016.0,139,en,0,8.191
1979.0,147,en,0,8.267
2019.0,162,en,0,7.423
2013.0,126,en,0,7.841
2024.0,115,en,0,7.338
2013.0,107,ml,0,3.0
2024.0,148,en,0,6.631
2017.0,102,en,0,6.852
2025.0,108,en,0,6.949
2026.0,92,en,0,6.0
1976.0,114,en,0,8.1
2012.0,75,en,0,0.0
2014.0,102,en,0,7.725
2024.0,115,en,0,7.052
2025.0,113,en,0,6.257
2012.0,165,en,0,8.187
2008.0,90,en,0,7.315
2025.0,102,en,0,6.033
2005.0,140,en,0,7.721
2024.0,127,en,0,6.436
2000.0,78,en,0,7.558
1994.0,98,it,0,5.5
2015.0,95,ko,0,6.0
2026.0,112,en,0,0.0
1957.0,97,en,0,8.556
2019.0,169,en,0,6.841
2022.0,147,en,0,6.61
2025.0,137,en,0,6.8
2016.0,96,es,0,6.251
2025.0,119,es,0,6.169
2021.0,13,en,0,0.0
2004.0,119,ja,0,8.387
2022.0,114,en,0,6.688
2016.0,118,ko,0,7.749
2023.0,110,en,0,7.337
2007.0,112,zh,0,6.541
2001.0,100,en,0,2.3
2026.0,98,en,0,5.7
2007.0,139,en,0,6.451
2024.0,117,es,0,7.121
2022.0,103,en,0,8.204
1997.0,127,en,0,8.2
2026.0,116,en,0,7.029
2025.0,97,en,0,7.012
2025.0,99,th,0,3.8
2024.0,114,es,0,6.131
2023.0,123,en,0,7.0
2010.0,98,en,0,7.855
2024.0,94,en,0,7.004
2013.0,100,en,0,6.116
2024.0,87,en,0,6.4
2008.0,94,en,0,7.4
2019.0,132,tr,0,8.252
2016.0,110,en,0,7.92
2021.0,91,en,0,7.888
2025.0,94,en,0,7.032
2011.0,127,en,0,7.065
2011.0,115,en,0,6.768
2015.0,124,en,0,6.698
2025.0,133,it,0,7.5
2006.0,125,en,0,6.619
2025.0,109,en,0,4.322
2025.0,65,en,0,5.107
2022.0,126,en,0,7.413
2015.0,117,en,0,7.065
2025.0,105,en,0,7.737
2024.0,118,en,0,7.314
2021.0,132,en,0,7.468
2024.0,111,en,0,6.976
2006.0,109,en,0,7.39
2023.0,164,en,0,7.507
2004.0,92,en,0,7.307
2016.0,129,en,0,7.9
2024.0,149,en,0,7.5
2005.0,90,en,0,6.12
2015.0,157,en,0,7.538
2007.0,122,en,0,7.946
2025.0,104,fr,0,7.181
2025.0,98,en,0,6.86
2024.0,116,ja,0,7.075
2003.0,40,en,0,0.0
2013.0,112,en,0,7.539
1994.0,101,en,0,6.975
2017.0,104,en,0,7.622
1934.0,20,en,0,1.0
2013.0,131,en,0,6.916
2005.0,144,en,0,7.0
1982.0,118,en,0,7.9
2024.0,115,en,0,5.688
2025.0,120,en,0,7.0
1968.0,149,en,0,8.057
2017.0,131,en,0,7.581
1997.0,126,fr,0,7.6
2020.0,101,en,0,8.097
2024.0,139,en,0,7.057
2011.0,12,en,0,0.0
2014.0,118,en,0,7.709
2018.0,140,en,0,7.584
1989.0,129,en,0,8.301
2022.0,140,en,0,7.721
2026.0,96,en,0,5.5
2021.0,88,en,0,7.588
2019.0,110,zh,0,7.9
2025.0,102,en,0,6.384
2023.0,103,en,0,6.806
2002.0,141,en,0,7.977
2022.0,126,en,0,7.228
2024.0,121,en,0,6.932
2011.0,106,en,0,6.172
2025.0,125,en,0,6.607
2010.0,131,fr,0,8.106
2004.0,163,en,0,7.168
2011.0,117,en,0,6.702
2024.0,124,en,0,6.999
2025.0,111,en,0,5.737
2023.0,84,en,0,4.923
2022.0,162,en,0,7.012
2015.0,105,en,0,6.823
2006.0,130,en,0,8.205
2004.0,115,en,0,7.72
2014.0,141,en,0,6.526
2004.0,108,en,0,8.091
2009.0,158,en,0,5.868
2019.0,137,en,0,6.836
2015.0,122,en,0,7.416
2022.0,91,fi,0,7.41
2023.0,127,en,0,7.187
2005.0,121,en,0,7.121
2017.0,122,en,0,7.336
2010.0,102,en,0,6.395
