Movie_id,Poster_path,Backdrop_path
14938,/7PaZLT7vfCIU6p3nG0QkIvdrTpF.jpg,/ums8XVCi9kWoQhTg51J0bASKltd.jpg
1167307,/bESlrLOrsQ9gKzaGQGHXKOyIUtX.jpg,/oN4TQ1TxchynXlFiXFBL3NHLT54.jpg
1522259,/m7XZWCBNYKUAULWSEfQKvpD8FpY.jpg,/jwwcS0UF5YBjFkvqTjM2Mssiwt6.jpg
23949,/4Flz17KOjGdGqJ2dFRhKnB7eg5.jpg,/o6PsWbkPva254PkEaVAnB87wpFH.jpg
1193128,/RBIrEveMOIy5Kxg2WzgMnCIhaN.jpg,/atvDTVtj88v2YEjwZ20Jsr0P8nk.jpg
425274,/oD3Eey4e4Z259XLm3eD3WGcoJAh.jpg,/dHSz0tSFuO2CsXJ1CApSauP9Ncl.jpg
1460448,/t6SoxUVENVxGxJWdiGBQs4izkAx.jpg,/vG6DVxzey4NKE1B5X5aGglpdHNK.jpg
1159559,/jjyuk0edLiW8vOSnlfwWCCLpbh5.jpg,/yWCZc2TcsCYbMMjvUIsczmQi2TX.jpg
1043197,/vobigFZFvbYPf6ElYJu07P9rH8C.jpg,/AecGG1XVCmkk7fT10ko3FC0dLIP.jpg
103620,/nbDkRvhmbYnHDXkoq0sF0PLeo8j.jpg,/28QWARI48SUXShKXGaLatZkeCO7.jpg
42159,/sQoGkwIMsfIhfC0ukouBvWOTIpK.jpg,/awYcdQIdFs6kt9WpoYIrxZ5slTq.jpg
24428,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,/pGFQCp12a8andfPlpnmXz44IIvY.jpg
1199869,/lpepbfVziHJLhVoxTEKs8ok00iu.jpg,/tTDfDHqGkRgBTL4Tw8mU0iwkW8T.jpg
52657,/nR2SSO740LzAAL43l8iDdik5flP.jpg,/6WykdA4hfmceDShUir6CjTVAwoH.jpg
258362,/otpeGasEHbG2yHCM14qe2qePxRq.jpg,/bvLd6JLJRR27TXPu8apTveuTP5b.jpg
15260,/si2Kgb6NRkIUmI5NfWQH1Y8TBVV.jpg,/dVRAaw1XWM6kiJQIJISSfKA0eNY.jpg
1290821,/buPFnHZ3xQy6vZEHxbHgL1Pc6CR.jpg,/6YjnTRBz704LF1uJ3ZC4wsS9T8r.jpg
1242501,/5Byv6nznAb2Izd0gHpODOXnuSbo.jpg,/gQimJqYMKCkwHIo8wwYKhmnCfBr.jpg
1305781,/AbunjMKX4P1sDNlKfhYrWkIoRD9.jpg,/cYyNJzwhaj7aC4uTlUctrfaERbf.jpg
1252037,/65Jr1JAgWlu9em8zHhAfrNJJQBt.jpg,/vMxOmgmBGegjVObjlb8ugsjGgkD.jpg
803796,/zT7Lhw3BhJbMkRqm9Zlx2YGMsY0.jpg,/w3Bi0wygeFQctn6AqFTwhGNXRwL.jpg
157336,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,/2ssWTSVklAEc98frZUQhgtGHx7s.jpg
1246049,/libhghrUSBSEdHgF9uP1SQES0nQ.jpg,/be5SIsRGMckO8tU9lrLcIik70Dy.jpg
1054867,/lbBWwxBht4JFP5PsuJ5onpMqugW.jpg,/gre7gyocZSuwd7M51CGlqsJqBmB.jpg
587370,/6LZJKktqh9jTL27vMU6oxzdvB3W.jpg,/AupBUhnJEFedxF4vQ82LU9rOXDC.jpg
7451,/xeEw3eLeSFmJgXZzmF2Efww0q3s.jpg,/2OHa6ukEq3Hce7Pc2kvu8wkmMFY.jpg
21948,/9iZjVn6Q5FJa92SQLcFMrskpES9.jpg,/y0BpUwUfeg27tSZN94Gj7sJIieX.jpg
278,/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,/zfbjgQE1uSd9wiPTX4VzsLi0rGG.jpg
1215185,/4DKDLOEP14XCRJgDeSK9LWcPXc2.jpg,/aJ3tiwuqRWgjvMonTC8499BCBi4.jpg
947959,,
